,typeImmatriculation_ES,typeImmatriculation_RS,typeImmatriculation_TRAC,typeImmatriculation_TU,energieVoiture_ESS-GAZ GPL,energieVoiture_ESSENCE,energieVoiture_GASOIL,marqueVoiture_AUDI,marqueVoiture_BERLIET,marqueVoiture_BMW,marqueVoiture_CATERPILLAR,marqueVoiture_CHEVROLET,marqueVoiture_CITROEN,marqueVoiture_DACIA,marqueVoiture_DAIMLER-CHRYSLER,marqueVoiture_FIAT,marqueVoiture_FORD,marqueVoiture_FOTON,marqueVoiture_HYUNDAI,marqueVoiture_ISUZU,marqueVoiture_IVECO,marqueVoiture_IVECO-FIAT,marqueVoiture_JEEP,marqueVoiture_KIA,marqueVoiture_KUBOTA,marqueVoiture_LAND ROVER,marqueVoiture_LANDINI,marqueVoiture_MAHINDRA,marqueVoiture_MAN,marqueVoiture_MAZDA,marqueVoiture_MERCEDES-BENZ,marqueVoiture_MERLO,marqueVoiture_MINI,marqueVoiture_MITSUBISHI,marqueVoiture_NISSAN,marqueVoiture_O.M,marqueVoiture_OPEL,marqueVoiture_PEUGEOT,marqueVoiture_PORSCHE,marqueVoiture_RENAULT,marqueVoiture_RENAULT TRUCKS,marqueVoiture_SCANIA,marqueVoiture_SEAT,marqueVoiture_SKODA,marqueVoiture_SSANGYONG,marqueVoiture_SUZUKI,marqueVoiture_TATA,marqueVoiture_TOYOTA,marqueVoiture_UNIC,marqueVoiture_VOLKSWAGEN,marqueVoiture_VOLVO,usageVoiture_Agricole 2 véhicule dont le PTC > 3500 kg,usageVoiture_Agricole Tracteur et Moissonneuse Batteuse,usageVoiture_Agricole1 véhicule dont le PTC < 3500 kg,usageVoiture_Auto-Ecole,usageVoiture_Engin de Chantiers,usageVoiture_Louage,usageVoiture_Privé et professionnel,usageVoiture_Taxi,usageVoiture_Transport Rural,usageVoiture_Transport privé de personnes (personnel / enfants /membre d’association),usageVoiture_Transport public de marchandise (avec matière dangereuse et inflammable),usageVoiture_Utilitaire 1 véhicule dont le PTC < 3500 kg (y compris usage voirie),usageVoiture_Utilitaire 2 véhicule dont le PTC > 3500 kg (y compris voirie),gouvernoratAssure_Ariana,gouvernoratAssure_Bejà,gouvernoratAssure_Ben Arous,gouvernoratAssure_Bizerte,gouvernoratAssure_Gabes,gouvernoratAssure_Gafsa,gouvernoratAssure_Jendouba,gouvernoratAssure_Kairouan,gouvernoratAssure_Kasserine,gouvernoratAssure_Kef,gouvernoratAssure_Mahdia,gouvernoratAssure_Manouba,gouvernoratAssure_Medenine,gouvernoratAssure_Monastir,gouvernoratAssure_Nabeul,gouvernoratAssure_Sfax,gouvernoratAssure_Sidi Bouzid,gouvernoratAssure_Siliana,gouvernoratAssure_Sousse,gouvernoratAssure_Tataouine,gouvernoratAssure_Tunis,gouvernoratAssure_Zaghouan,typePolice,naturePolice,puissanceFiscalVoiture,anneesExpAssure,classeBonusMalus
60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4.0,35.0,3.0
63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.0,16.0,3.0
77,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.0,16.0,1.0
79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5.0,27.0,2.0
99,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,21.0,3.0
113,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.0,59.0,5.0
136,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,24.0,1.0
138,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,35.0,1.0
139,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,22.0,3.0
150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,32.0,11.0
